Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
The Vatican Tapes,Jul,24,2015,13,1.784763,12.986189,11.201426
The Green Inferno,Sep,25,2015,1,7.192291,12.931569,5.739278
Unfinished Business,Mar,6,2015,35,10.219501,12.819501,2.6
The Light Between Oceans,Sep,2,2016,20,12.322798,12.755889,0.433091
Bachelorette,Sep,7,2012,3,0.44677,12.577401,12.130631
People Like Us,Jun,29,2012,16,12.431792,12.519804,0.088012
Hot Tub Time Machine 2,Feb,20,2015,14,12.314651,12.452601,0.13795
The Interview,Feb,6,2014,44,6.105175,12.342632,6.237457
The Lunchbox,Feb,28,2014,1.7,4.2315,12.2315,8
Stoker,Mar,1,2013,12,1.703125,12.079308,10.376183
Harry Brown,Apr,30,2010,7.3,1.818681,12.023606,10.204925
Chloe,Mar,26,2010,13,3.075255,11.831131,8.755876
Conviction,Oct,15,2010,12.5,6.797696,11.82698,5.029284
Getaway,Aug,30,2013,18,10.501938,11.813989,1.312051
Trance,Dec,31,2010,0.95,0,11.784772,11.784772
Seeking a Friend for the End of the World,Jun,22,2012,10,7.078738,11.766959,4.688221
Micmacs,May,28,2010,42,1.259693,11.756922,10.497229
Dum Maaro Dum,Apr,22,2011,5.2,0.564489,11.633427,11.068938
The Sessions,Oct,19,2012,1,6.002451,11.495204,5.492753
Reign of Assassins,Dec,31,2011,14,0,11.35423,11.35423
Snow Flower and the Secret Fan,Jul,15,2011,6,1.348205,11.348205,10
Frances Ha,May,17,2013,3,4.067398,11.267511,7.200113
Shanghai,Oct,2,2015,50,0.046425,11.258055,11.21163
Straw Dogs,Sep,16,2011,25,10.324441,11.253821,0.92938
Never Let Me Go,Sep,15,2010,15,2.434652,11.173718,8.739066
Fun Size,Oct,26,2012,14,9.409538,11.166615,1.757077
Jonah Hex,Jun,18,2010,47,10.547117,11.022696,0.475579
Get Low,Jul,30,2010,7,9.176933,10.828305,1.651372
We Need to Talk About Kevin,Dec,9,2011,7,1.738692,10.765283,9.026591
Prom,Apr,29,2011,8,10.130219,10.763183,0.632964
The Apparition,Aug,24,2012,17,4.936819,10.637281,5.700462
Moms’ Night Out,May,9,2014,5,10.429707,10.537341,0.107634
Dangerous Liaisons,Nov,9,2012,24.2,0.017,10.447579,10.430579
LOL,May,4,2012,11,0,10.431506,10.431506
Thunder and the House of Magic,Sep,5,2014,34,0.004091,10.392666,10.388575
All is Lost,Oct,18,2013,8.5,6.26367,10.29201,4.02834
Snabba Cash,Jul,11,2012,4.3,0.18887,10.212403,10.023533
We Are Your Friends,Aug,28,2015,2,3.591417,10.166209,6.574792
ABCD (Any Body Can Dance),Feb,8,2013,1.9,0.222098,10.137234,9.915136
Bernie,Apr,27,2012,6,9.204489,10.106975,0.902486
Cyrus,Jun,18,2010,7,7.468936,10.062896,2.59396
For Greater Glory,Jun,1,2012,12,5.669081,10.026255,4.357174
Airlift (2016),Dec,31,2016,4.4,0,9.969237,9.969237
The Perfect Match,Mar,11,2016,5,9.669521,9.669521,0
Winter in Wartime,Mar,18,2011,5.8,0.54286,9.662214,9.119354
Popstar: Never Stop Never Stopping,Jun,3,2016,20,9.49613,9.53712,0.04099
